id,dbFile,gloveFile,vocabSize,captureFraction,convolutionFilters,convolutionKernel,convolutionActivation,poolSize,flattenLayer,denseUnits,denseActivation,dropoutFraction,outputActivation,lossFunction
48,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,5,True,25,relu,0.0,softmax,categorical_crossentropy
49,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,5,True,25,relu,0.05,softmax,categorical_crossentropy
50,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
51,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,5,True,50,relu,0.05,softmax,categorical_crossentropy
52,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,10,True,25,relu,0.0,softmax,categorical_crossentropy
53,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,10,True,25,relu,0.05,softmax,categorical_crossentropy
54,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,10,True,50,relu,0.0,softmax,categorical_crossentropy
55,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,50,10,relu,10,True,50,relu,0.05,softmax,categorical_crossentropy
112,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,5,True,25,relu,0.0,softmax,categorical_crossentropy
113,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,5,True,25,relu,0.05,softmax,categorical_crossentropy
114,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
115,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,5,True,50,relu,0.05,softmax,categorical_crossentropy
116,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,10,True,25,relu,0.0,softmax,categorical_crossentropy
117,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,10,True,25,relu,0.05,softmax,categorical_crossentropy
118,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,10,True,50,relu,0.0,softmax,categorical_crossentropy
119,./data/articles_zenodo.db,./data/glove.6B.50d.txt,2500,0.95,50,10,relu,10,True,50,relu,0.05,softmax,categorical_crossentropy
